,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
0,Abere izate ukatua,Su ta gar,4tMbI2qkOIfc1kzsbw7X64,0.393,0.967,10.0,-5.775,0.0,0.0511,1e-05,0.0013,0.147,0.469,98.016,audio_features,4tMbI2qkOIfc1kzsbw7X64,spotify:track:4tMbI2qkOIfc1kzsbw7X64,https://api.spotify.com/v1/tracks/4tMbI2qkOIfc1kzsbw7X64,https://api.spotify.com/v1/audio-analysis/4tMbI2qkOIfc1kzsbw7X64,243973.0,4.0,not_hot,1,0
1,Viva Forever (Tony Rich Remix Instrumental),Spice Girls,1dehm5fgmBVxxur0YnZLMq,0.809,0.478,10.0,-7.371,0.0,0.187,0.0106,0.861,0.125,0.594,168.897,audio_features,1dehm5fgmBVxxur0YnZLMq,spotify:track:1dehm5fgmBVxxur0YnZLMq,https://api.spotify.com/v1/tracks/1dehm5fgmBVxxur0YnZLMq,https://api.spotify.com/v1/audio-analysis/1dehm5fgmBVxxur0YnZLMq,342733.0,4.0,not_hot,6,1
2,Think About That,Dandy Livingstone,5vWscUwJJSsIvKR0YJa8cV,0.759,0.654,0.0,-8.462,1.0,0.0523,0.134,0.234,0.113,0.664,95.544,audio_features,5vWscUwJJSsIvKR0YJa8cV,spotify:track:5vWscUwJJSsIvKR0YJa8cV,https://api.spotify.com/v1/tracks/5vWscUwJJSsIvKR0YJa8cV,https://api.spotify.com/v1/audio-analysis/5vWscUwJJSsIvKR0YJa8cV,172947.0,4.0,not_hot,3,0
3,That Groovy Shingaling,Orquesta Harlow,2kTZKa7J0ykBpmzs5TMjWT,0.454,0.481,10.0,-10.895,1.0,0.0318,0.708,0.254,0.158,0.757,122.281,audio_features,2kTZKa7J0ykBpmzs5TMjWT,spotify:track:2kTZKa7J0ykBpmzs5TMjWT,https://api.spotify.com/v1/tracks/2kTZKa7J0ykBpmzs5TMjWT,https://api.spotify.com/v1/audio-analysis/2kTZKa7J0ykBpmzs5TMjWT,135187.0,4.0,not_hot,2,0
4,Take It Off,King B.A.V.,77ihANWN9MuLGim3ZtYIti,0.706,0.58,7.0,-3.692,0.0,0.0423,0.000473,0.0,0.256,0.115,75.102,audio_features,77ihANWN9MuLGim3ZtYIti,spotify:track:77ihANWN9MuLGim3ZtYIti,https://api.spotify.com/v1/tracks/77ihANWN9MuLGim3ZtYIti,https://api.spotify.com/v1/audio-analysis/77ihANWN9MuLGim3ZtYIti,244827.0,4.0,not_hot,1,-1
5,Can You Relate,Samuel L Session,2gF7ec0GjxCMVtQc9w5W0L,0.802,0.67,10.0,-8.202,0.0,0.0747,9.23e-05,0.886,0.0598,0.377,125.994,audio_features,2gF7ec0GjxCMVtQc9w5W0L,spotify:track:2gF7ec0GjxCMVtQc9w5W0L,https://api.spotify.com/v1/tracks/2gF7ec0GjxCMVtQc9w5W0L,https://api.spotify.com/v1/audio-analysis/2gF7ec0GjxCMVtQc9w5W0L,397500.0,4.0,not_hot,6,0
8,This One's For You,Nazz,39fell9Pj2v5CZ7nirN0Ax,0.584,0.291,7.0,-12.45,1.0,0.028,0.822,0.000372,0.0799,0.17,105.074,audio_features,39fell9Pj2v5CZ7nirN0Ax,spotify:track:39fell9Pj2v5CZ7nirN0Ax,https://api.spotify.com/v1/tracks/39fell9Pj2v5CZ7nirN0Ax,https://api.spotify.com/v1/audio-analysis/39fell9Pj2v5CZ7nirN0Ax,296707.0,4.0,not_hot,7,0
9,I Only Have Eyes for You,Coleman Hawkins,4K3sDOXP4kdqCyS91q0buz,0.654,0.351,0.0,-13.875,1.0,0.0469,0.976,0.808,0.14,0.834,94.568,audio_features,4K3sDOXP4kdqCyS91q0buz,spotify:track:4K3sDOXP4kdqCyS91q0buz,https://api.spotify.com/v1/tracks/4K3sDOXP4kdqCyS91q0buz,https://api.spotify.com/v1/audio-analysis/4K3sDOXP4kdqCyS91q0buz,189693.0,4.0,not_hot,10,0
12,Prajedes Felix,Chalino Sanchez,1u2zuqcikdm9WCRb2hfjtt,0.44,0.519,3.0,-8.545,1.0,0.0609,0.484,4.01e-06,0.0955,0.897,190.477,audio_features,1u2zuqcikdm9WCRb2hfjtt,spotify:track:1u2zuqcikdm9WCRb2hfjtt,https://api.spotify.com/v1/tracks/1u2zuqcikdm9WCRb2hfjtt,https://api.spotify.com/v1/audio-analysis/1u2zuqcikdm9WCRb2hfjtt,270536.0,3.0,not_hot,5,-1
13,I Don't Paint Myself Into Corners,Rebecca Lynn Howard,3uMBzNud2yVcNswnG5KVbb,0.53,0.448,7.0,-6.187,1.0,0.0285,0.257,0.0,0.075,0.233,128.626,audio_features,3uMBzNud2yVcNswnG5KVbb,spotify:track:3uMBzNud2yVcNswnG5KVbb,https://api.spotify.com/v1/tracks/3uMBzNud2yVcNswnG5KVbb,https://api.spotify.com/v1/audio-analysis/3uMBzNud2yVcNswnG5KVbb,299560.0,4.0,not_hot,1,0
